ENCSENTS	DECSENTS
Colonel Durnford ... William Vereker . I hear you' ve been seeking Officers ?	good ones , yes , Mr Vereker . gentlemen who can ride and shoot
I'm to take the Sikali with the main column to the river	Lord Chelmsford seems to want me to stay back with my Basutos .
well I assure you , Sir , I have no desire to create difficulties . 45	and I assure you , you do not In fact I'd be obliged for your best advice . what have your scouts seen ?
so far only their scouts . but we have had reports of a small Impi farther north , over there .	lighting COGHILL' 5 cigar : our good Colonel Dumford scored quite a coup with the Sikali Horse .
um . there are rumours that my Lord Chelmsford intends to make Durnford Second in Command .	well that's typical of Her Majesty's army . appoint an engineer to do a soldier's work .
do you think she might be interested in someone ?	which one ?
well that one . the one who keeps looking at me .	Ft could be you flatter yourself CoghilL It's that odd eye .
choose your targets men . that's right Watch those markers . 55	keep steady . you're the best shots of the Twenty-Fourth . you bunch of heathens , do it
Stuart ?	yes .
well , my horses are feeding , as you may observe , Mr Coghill . it'll take a little while .	well , fed or hungry , Pulleine wants them in position immediately . .
right . Bombardier , to me please .	yes . I see you've issued each of them with a Martini Henry carbine . our quota for Native contingencies : one rifle to ten men and only five rounds per rifle .
"er , called Noggs , Sir Actual name is Norris-Newman . he presented credentials from "" The standard "" ."	our runners bare his dispatches , do they not ?
the only reports of enemy activity have come from the direction of the Royal Kraal , at Ulundi .	thank you .
yes ?	a large party of Zulus have been sighted in the direction of the King's KraaL Getting up , CHELMSFORD moves over to look at the map on his desk .
splendid site , Crealock , splendil I want to establish Camp here immediately .	certainly , Sin
splendid horsemanship Who are they ?	Sikali Horse , My Lord . Christians all I know each one by name .
excellent . thank you . give them to Crealock , would you ?	my Lord . this list was prepared for you . I don' t think another can understand its true value .
you intended to bring your reserves across the river ?	I have received intelligence from , sources of my own that the Zulu Impis are moving North of here and threaten your left .
tomorrow we will continue our advance on Ulundi . Dumford , kindly return to your unit Bring them here immediately to support Pulleine . Mr Vereker will join you as ADC . do you understand me clearly ?	and the threat of counter invasion no longer exists ? 40
an historical moment , Gentlemen .	"excuse me , My Lord . Norris-Newman , of "" The standard "" , My Lord ."
1 saw you lead our Cavalry sir	Indeedldid , MyLord . Itwas one ofthe first to cross .
